Target,Sample,Cq,Cq Mean,Cq SD,Name,Group,Oligos,Gene,Class_gene
2,28,36.8961789,35.32919885,3.513919509,rt-znf_2_rep3,rt-,5209/5210,znf_3prime,exp
2,24,NA,NA,NA,rt-znf_1_rep2,rt-,5209/5210,znf_3prime,exp
2,32,NA,NA,NA,water_rep2,water,5209/5210,znf_3prime,exp
2,29,NA,NA,NA,rt-znf_3_rep1,rt-,5209/5210,znf_3prime,exp
2,19,NA,NA,NA,rt-uninjected_rep3,rt-,5209/5210,znf_3prime,exp
2,19,36.09107666,33.92091496,3.069072111,rt-uninjected_rep3,rt-,5209/5210,znf_3prime,exp
2,29,35.54759747,35.54759747,NA,rt-znf_3_rep1,rt-,5209/5210,znf_3prime,exp
2,26,30.90270487,31.63999857,0.647663226,rt-znf_2_rep1,rt-,5209/5210,znf_3prime,exp
2,16,NA,NA,NA,water_rep1,water,5209/5210,znf_3prime,exp
2,23,33.14263754,33.83401171,2.117900096,rt-znf_1_rep1,rt-,5209/5210,znf_3prime,exp
2,30,32.24075497,34.87748634,2.321062128,rt-znf_3_rep2,rt-,5209/5210,znf_3prime,exp
2,20,32.252815150000004,34.2521152,2.827437248,rt-pcas13d_rep1,rt-,5209/5210,znf_3prime,exp
2,20,NA,NA,NA,rt-pcas13d_rep1,rt-,5209/5210,znf_3prime,exp
2,30,36.61186304,34.87748634,2.321062128,rt-znf_3_rep2,rt-,5209/5210,znf_3prime,exp
2,17,32.12781313,33.04103717,2.090381299,rt-uninjected_rep1,rt-,5209/5210,znf_3prime,exp
2,27,32.14608458,35.59117365,3.16196497,rt-znf_2_rep2,rt-,5209/5210,znf_3prime,exp
2,24,32.78765114,33.01825332,0.326120732,rt-znf_1_rep2,rt-,5209/5210,znf_3prime,exp
2,31,35.15460216,35.42538932,2.450464111,rt-znf_3_rep3,rt-,5209/5210,znf_3prime,exp
2,21,38.88882831,37.45130986,NA,rt-pcas13d_rep2,rt-,5209/5210,znf_3prime,exp
2,21,NA,NA,NA,rt-pcas13d_rep2,rt-,5209/5210,znf_3prime,exp
2,31,38,35.42538932,2.450464111,rt-znf_3_rep3,rt-,5209/5210,znf_3prime,exp
2,28,32.84448253,35.32919885,3.513919509,rt-znf_2_rep3,rt-,5209/5210,znf_3prime,exp
2,19,31.75075326,33.92091496,3.069072111,rt-uninjected_rep3,rt-,5209/5210,znf_3prime,exp
2,18,NA,NA,NA,rt-uninjected_rep2,rt-,5209/5210,znf_3prime,exp
2,25,32.15314285,32.00991139,0.375235333,rt-znf_1_rep3,rt-,5209/5210,znf_3prime,exp
2,25,32.29243563,32.00991139,0.375235333,rt-znf_1_rep3,rt-,5209/5210,znf_3prime,exp
2,32,NA,NA,NA,water_rep2,water,5209/5210,znf_3prime,exp
2,22,32.97529804,32.51312008,0.440541622,rt-pcas13d_rep3,rt-,5209/5210,znf_3prime,exp
2,32,NA,NA,NA,water_rep2,water,5209/5210,znf_3prime,exp
2,29,NA,NA,NA,rt-znf_3_rep1,rt-,5209/5210,znf_3prime,exp
2,20,36.25141525,34.2521152,2.827437248,rt-pcas13d_rep1,rt-,5209/5210,znf_3prime,exp
2,16,NA,NA,NA,water_rep1,water,5209/5210,znf_3prime,exp
2,27,36.26655848,35.59117365,3.16196497,rt-znf_2_rep2,rt-,5209/5210,znf_3prime,exp
2,26,32.11711734,31.63999857,0.647663226,rt-znf_2_rep1,rt-,5209/5210,znf_3prime,exp
2,17,31.56265296,33.04103717,2.090381299,rt-uninjected_rep1,rt-,5209/5210,znf_3prime,exp
2,24,33.2488555,33.01825332,0.326120732,rt-znf_1_rep2,rt-,5209/5210,znf_3prime,exp
2,23,36.21120123,33.83401171,2.117900096,rt-znf_1_rep1,rt-,5209/5210,znf_3prime,exp
2,31,33.12156579,35.42538932,2.450464111,rt-znf_3_rep3,rt-,5209/5210,znf_3prime,exp
2,30,35.779841,34.87748634,2.321062128,rt-znf_3_rep2,rt-,5209/5210,znf_3prime,exp
2,21,37.45130986,37.45130986,NA,rt-pcas13d_rep2,rt-,5209/5210,znf_3prime,exp
