Target,Sample,Cq,Cq Mean,Cq SD,Name,Group,Oligos,Gene,Class_gene,dMean,MeanRank,Outlier
2,1,22.50023179,22.57449825,0.081748449,uninjected_rep1,uninjected,5209/5210,znf_3prime,exp,0.005515507080931671,2,No
2,14,23.21735769,23.18168535,0.0817086,znf_3_rep2,znf_3,5209/5210,znf_3prime,exp,0.0012725158410757007,1,No
2,1,22.5611718,22.57449825,0.081748449,uninjected_rep1,uninjected,5209/5210,znf_3prime,exp,1.7759426960252636e-4,1,No
2,13,23.49770549,23.46830186,0.106766394,znf_3_rep1,znf_3,5209/5210,znf_3prime,exp,8.645734571769531e-4,1,No
2,5,22.52026251,22.51446828,0.066050461,pcas13d_rep2,pcas13d,5209/5210,znf_3prime,exp,3.3573101292892414e-5,1,No
2,15,23.49623169,23.60611835,0.100823167,znf_3_rep3,znf_3,5209/5210,znf_3prime,exp,0.012075078045955777,3,No
2,1,22.66209115,22.57449825,0.081748449,uninjected_rep1,uninjected,5209/5210,znf_3prime,exp,0.0076725161304094895,3,No
2,13,23.34991478,23.46830186,0.106766394,znf_3_rep1,znf_3,5209/5210,znf_3prime,exp,0.014015500710926762,3,No
2,2,22.22235335,22.32308398,0.098469648,uninjected_rep2,uninjected,5209/5210,znf_3prime,exp,0.01014665982019711,3,No
2,2,22.32777354,22.32308398,0.098469648,uninjected_rep2,uninjected,5209/5210,znf_3prime,exp,2.1991972993592536e-5,1,No
2,3,22.49847912,22.60150779,0.090035332,uninjected_rep3,uninjected,5209/5210,znf_3prime,exp,0.010614906841969,3,No
2,10,23.15064241,23.19724514,0.177539577,znf_2_rep1,znf_2,5209/5210,znf_3prime,exp,0.0021718144434529035,1,No
2,2,22.41912507,22.32308398,0.098469648,uninjected_rep2,uninjected,5209/5210,znf_3prime,exp,0.009223890968388089,2,No
2,6,22.66127336,22.7480969,0.128523931,pcas13d_rep3,pcas13d,5209/5210,znf_3prime,exp,0.007538327098131779,2,No
2,4,22.58790236,22.47556712,0.103798926,pcas13d_rep1,pcas13d,5209/5210,znf_3prime,exp,0.012619206145857638,3,No
